epoch,loss,val_loss,val_weight_stage1_L1_acc,val_weight_stage1_L1_loss,val_weight_stage1_L2_acc,val_weight_stage1_L2_loss,val_weight_stage2_L1_acc,val_weight_stage2_L1_loss,val_weight_stage2_L2_acc,val_weight_stage2_L2_loss,val_weight_stage3_L1_acc,val_weight_stage3_L1_loss,val_weight_stage3_L2_acc,val_weight_stage3_L2_loss,val_weight_stage4_L1_acc,val_weight_stage4_L1_loss,val_weight_stage4_L2_acc,val_weight_stage4_L2_loss,val_weight_stage5_L1_acc,val_weight_stage5_L1_loss,val_weight_stage5_L2_acc,val_weight_stage5_L2_loss,val_weight_stage6_L1_acc,val_weight_stage6_L1_loss,val_weight_stage6_L2_acc,val_weight_stage6_L2_loss,weight_stage1_L1_acc,weight_stage1_L1_loss,weight_stage1_L2_acc,weight_stage1_L2_loss,weight_stage2_L1_acc,weight_stage2_L1_loss,weight_stage2_L2_acc,weight_stage2_L2_loss,weight_stage3_L1_acc,weight_stage3_L1_loss,weight_stage3_L2_acc,weight_stage3_L2_loss,weight_stage4_L1_acc,weight_stage4_L1_loss,weight_stage4_L2_acc,weight_stage4_L2_loss,weight_stage5_L1_acc,weight_stage5_L1_loss,weight_stage5_L2_acc,weight_stage5_L2_loss,weight_stage6_L1_acc,weight_stage6_L1_loss,weight_stage6_L2_acc,weight_stage6_L2_loss
20,529.618388885,535.457526698,0.0410761081642,71.4609668327,0.972099717142,27.3138611172,0.0448457279849,64.4558504134,0.973587119218,24.2595365914,0.0460665849404,62.7886378115,0.973900030508,23.5649784984,0.04578482112,61.6440558289,0.974064722206,23.3770573789,0.0461485720042,60.6029123032,0.974144738055,23.0847489039,0.0469764994288,59.9885911797,0.974329482425,22.7510526903,0.0934428203797,71.4555341326,0.972183306253,26.8574878715,0.0986478488427,63.8043684527,0.973522588381,24.2804939644,0.0975829425885,61.6401516174,0.973917977634,23.4783442841,0.0977746384414,60.6718801914,0.974090037611,23.0594762249,0.0845384092725,59.9483534281,0.974181563132,22.8596891776,0.0875293053446,59.0193085095,0.974313176546,22.5047238342
21,525.377025798,536.396573269,0.0389448002362,71.2344231606,0.971920166503,27.1868024161,0.0436719511212,64.2641717593,0.973262217912,24.5794671196,0.0448527096093,62.258890571,0.973681635026,24.369228876,0.0452653306296,61.4988974875,0.973790660952,23.5608271144,0.0456836799047,60.6713521842,0.973888932304,23.3721006964,0.0461367575282,59.8837519414,0.974046645517,23.0954966653,0.108548334664,71.1001318369,0.972495939471,26.4528005228,0.101162048545,63.6084749991,0.973835097846,23.8628497705,0.0929738182453,61.3282388454,0.974242391424,23.07332128,0.094967772847,60.3235754088,0.974409231647,22.646171029,0.0846660330889,59.5593689851,0.974511953979,22.4285072538,0.0819753957974,58.6408937827,0.974637268557,22.0596363277
22,526.190966191,524.032687678,0.79260832568,70.4255082824,0.973155349493,25.804809126,0.0437720183382,63.0678666577,0.974398400296,23.4209479021,0.0448553947111,61.5170697443,0.974826950467,22.7299104387,0.0451600716844,60.6088068269,0.974960498286,22.4690760013,0.0461227945123,60.0134313612,0.975059667094,22.1907928243,0.0459346537069,59.2957617875,0.975176385406,21.8077910561,0.0952226499929,71.1689540133,0.97252559374,26.4548347705,0.100145822398,63.6634529035,0.973838655582,23.8900013256,0.095938627377,61.4087004936,0.974239004205,23.1007666503,0.0867675198371,60.4283359551,0.974422208493,22.6648677592,0.0837458705706,59.6459801622,0.974528974908,22.4362355205,0.087469626931,58.697551468,0.974652707089,22.0710606605
23,528.931990303,528.709350239,0.0398092456374,70.9973521377,0.972473671716,26.5774652055,0.0447640987466,63.6764055165,0.973764875847,23.7776138024,0.0456647046517,61.637863058,0.974110371236,23.1045707139,0.0460816219336,60.647196199,0.974222791466,22.8202780991,0.0464679283922,60.1414928292,0.974341476731,22.651426579,0.0469333575968,59.2346596429,0.974434915817,22.4760995417,0.0886487667278,71.2279945576,0.972271137748,26.755320779,0.0992843676321,64.0743172971,0.973585977802,24.2627109037,0.0966601293473,61.5048449038,0.973978634988,23.4372245224,0.08878482091,60.4427998893,0.974165019404,22.9878528051,0.0881439969107,59.6401040943,0.974280701513,22.7282533765,0.0845077296325,58.6971318701,0.974401773779,22.3392453002
24,524.997690123,528.864715576,0.155616118403,71.0685846444,0.973072998,26.0603631626,0.0432355211638,63.954443816,0.974209009472,23.7757304835,0.0441380961036,62.1040610256,0.974722585669,22.9867519501,0.0446393279443,61.1532471758,0.974886024992,22.4692631888,0.0449742576686,60.3572525761,0.974974820334,22.2461133545,0.0453167065385,59.4580264091,0.975064861052,22.000334317,0.0854567472629,70.9709416495,0.972565231849,26.3968790689,0.10938935037,63.5628667249,0.973869720426,23.8889971546,0.102868493874,61.1824006528,0.974274427962,23.0686806142,0.0992093301564,60.1346450544,0.974460633507,22.587739065,0.0937794302853,59.3672673656,0.974570814104,22.3385012129,0.0874898282605,58.4312582442,0.974702777654,21.9674551242
25,523.613216968,521.05051584,0.0386701966389,69.4488225995,0.973155704186,25.795895786,0.0436687288651,62.3912274332,0.974306392399,23.5433868459,0.0448278267868,60.7511275031,0.974739592184,22.7880447814,0.0453032809027,60.0172816623,0.97468338681,22.6567566467,0.0455576558809,59.3947767055,0.974922724971,22.2687065601,0.0459380549675,58.6192775495,0.975067902018,21.9016862494,0.0817639128021,70.5916751402,0.972565403704,26.3303308086,0.0992101586004,63.2375960222,0.973835698902,23.8820343307,0.0931419428951,60.9612198663,0.974243731434,23.0277825892,0.0882183058585,59.9516632964,0.974418308033,22.5852044301,0.0836685072584,59.1587709857,0.974529584918,22.352444048,0.0805572833994,58.2098544676,0.974664109801,21.9619149299
26,493.988327946,500.740520882,0.0408505545365,67.3684802055,0.972780318197,25.6335502574,0.0466150755881,59.6050413811,0.974161569819,22.7938504255,0.0478078276766,57.7329307975,0.974538207731,22.1236729622,0.0477620008768,56.8950922056,0.97469895762,21.8404302561,0.0477988770316,56.3980958895,0.974803857731,21.6475994063,0.0480675730346,55.8033887329,0.974904287719,21.4525576433,0.0846095312262,67.7193366394,0.973015024468,25.1973673584,0.091806306774,59.2537906333,0.974488185735,22.2244337932,0.0924523859792,57.1834150729,0.974895319403,21.4461604736,0.0868090081869,56.269054229,0.97507306756,21.0945170953,0.0858257414274,55.6497843242,0.975182827094,20.8963182428,0.0925691500425,54.9606948112,0.975305391902,20.6337702522
27,489.171420883,499.873632489,0.039927751094,67.8992157416,0.973589270178,25.1168645151,0.0456058097947,60.0157399972,0.974967476093,22.3459028692,0.0464498480415,58.0549898437,0.97535592882,21.5847300327,0.046924943951,57.2716031508,0.975523479734,21.3689981699,0.0471764547454,56.7362792998,0.97557825979,21.1189012166,0.0475917609169,56.1407235897,0.975721112029,20.7944141807,0.0918949601085,67.133349466,0.973091991722,25.0149365028,0.0981711050608,58.656833208,0.974574418378,22.0344565438,0.085779446166,56.5537696544,0.974982909046,21.2550499035,0.088507456892,55.6374882678,0.975159615692,20.9051021454,0.0848903740709,55.0303171527,0.975268754018,20.6963139659,0.0777859116831,54.3710651147,0.97538277224,20.446637438
28,486.005457746,489.618351792,0.0403659709193,66.8299690593,0.973990251846,24.1519858982,0.0455225694318,59.105112177,0.975515427915,21.4392289357,0.0466014704046,57.3225445531,0.975878287897,20.8878196984,0.0469356847885,56.4804990147,0.97600019249,20.4123497623,0.0473078490432,56.0293162953,0.976121562223,20.2809874361,0.0477620007498,55.3395456473,0.976228252505,19.9321983619,0.0863945190335,66.8367501712,0.973251148591,24.7530697679,0.0904487893177,58.3179583313,0.974745715156,21.7904238595,0.0871899016903,56.2808501611,0.975153863237,21.0217663567,0.0828188331853,55.3732199791,0.975328862248,20.6659927761,0.0876708103524,54.7740502815,0.975435702004,20.4621246196,0.086983869522,54.1097599899,0.975550752773,20.2037265039
29,483.634156869,493.060499943,0.0402275949547,66.8083932616,0.973527150624,24.5980835394,0.0459751100068,59.0271850427,0.974911450211,22.0972589074,0.0559730696506,57.3233870737,0.975294526554,21.5052947709,0.0477371181319,56.5381886598,0.97544973321,21.0144887332,0.0475513042995,55.9228304733,0.975557680157,20.9716658339,0.0477374759291,55.3007714676,0.975633757358,20.5602251689,0.0909447369222,66.5914522125,0.973287417297,24.6790674985,0.102840483298,58.0623367278,0.9747711191,21.7129149439,0.101749282998,55.952515722,0.975187185045,20.9320730816,0.0910015718753,55.0473327742,0.975380561281,20.5698597885,0.0934416048645,54.4362405834,0.975490840732,20.3648930505,0.087963404628,53.7801802001,0.975613468499,20.1053526625
